repository_id,repository_name,repository_type,repository_url,organisation_name,organisation_country,metadata_record_count,full_text_record_count
3346,Dicle University,institutional,http://acikerisim.dicle.edu.tr/xmlui,Dicle University,tr,843,0
3347,Digital library of the “Lucian Blaga” Central University Library Cluj,institutional,http://dspace.bcucluj.ro/,&quot;Lucian Blaga&quot; Central University library,ro,42832,2304
3348,Kurume University Institutional Repository,institutional,https://kurume.repo.nii.ac.jp/,Kurume University,jp,400,39
3349,RI-UNAPEC. Repositorio Institucional de la Universidad APEC,institutional,http://repositorio.unapec.edu.do/,Universidad APEC,do,465,0
3350,datorium,disciplinary,https://data.gesis.org/sharing/#!Home,Leibniz Institute for Social Sciences,de,74,0
3351,Repositori Institucional Universitat Rovira i Virgili,institutional,http://repositori.urv.cat/fourrepopublic,Universitat Rovira i Virgili,es,9301,0
3352,Mzumbe University Scholar Repository,institutional,http://scholar.mzumbe.ac.tz/,Mzumbe University,tz,1737,0
3353,TBMM Kütüphanesi Açık Erişim Sistemi,institutional,https://acikerisim.tbmm.gov.tr/,Türkiye Büyük Millet Meclisi,tr,2419,14
3354,"Digital Repository of the Institute of Radiophysics and Electronics, Armenian National Academy of Sciences",institutional,http://irphe.asj-oa.am/,"Institute of Radiophysics and Electronics, Armenian National Academy of Sciences",am,15,0
3355,Miyagi University of Education Repository,institutional,https://mue.repo.nii.ac.jp,Miyagi University of Education,jp,432,0
3356,Scioteca,institutional,https://scioteca.caf.com/,CAF – Banco de desarrollo de América Latina y el Caribe,ve,968,0
3357,CRTI Digital Library,institutional,https://library.crti.dz/,Centre de Recherche en Technologies Industrielles,dz,1102,0
3358,The Library of National Taiwan Normal Univ.,institutional,http://www.lib.ntnu.edu.tw/english/index.jsp,National Taiwan Normal University,tw,44760,0
3359,Furman University Scholar Exchange (FUSE),institutional,https://scholarexchange.furman.edu/,Furman University,us,681,0
3360,Tecnalia Publications,institutional,http://dsp.tecnalia.com/,Fundación Tecnalia - Research & Innovation,es,521,0
3361,JKU ePub,institutional,http://epub.jku.at/,Johannes Kepler Universität Linz,at,3818,9
3362,Framingham State University Digital Repository,institutional,https://digitalcommons.framingham.edu/,Framingham State University,us,6999,509
3363,IRIHS - Institutional Repository at IHS,institutional,https://irihs.ihs.ac.at,Institute for Advanced Studies,at,5308,2096
3364,Juelich Shared Electronic Resources,institutional,http://juser.fz-juelich.de/,Forschungszentrum Jülich GmbH,de,263792,9835
3365,CUNY Academic Works,institutional,https://academicworks.cuny.edu/,The City University of New York,us,1714,0
3366,Sokoine University of Agriculture Institutional Repository,institutional,https://www.suaire.sua.ac.tz,Sokoine University of Agriculture,tz,3125,0
3367,London Met Repository,institutional,http://eprints.londonmet.ac.uk/,London Metropolitan University,gb,5192,4429
3368,KTUePubl (Repository of Kaunas University of Technology),institutional,https://epubl.ktu.edu/,Kaunas University of Technology,lt,6638,3427
3369,Asian Development Bank Open Access Repository,institutional,https://openaccess.adb.org/,Asian Development Bank,ph,4634,0
3370,Institutional Repository of Guangxi University for Nationalities,institutional,http://ir.gxun.edu.cn/,"Guangxi University for Nationalities(广西民族大学),China",cn,3937,0
3371,NILU Brage,institutional,https://nilu.brage.unit.no,NILU – Norwegian Institute for Air Research,no,94293,61704
3372,Portal do Conhecimento,governmental,http://www.portaldoconhecimento.gov.cv/,Ministerio do Ensino Superior Ciencia e Inovacao,cv,3321,2636
3373,Dataspace at Princeton University,institutional,https://dataspace.princeton.edu/,Princeton University,us,74255,0
3374,REAL-MS,institutional,http://real-ms.mtak.hu/,"Library and Information Centre, Hungarian Academy of Sciences",hu,23977,21181
3375,Seikei University Repository,institutional,http://repository.seikei.ac.jp/,Seikei University Repository,jp,1137,2
3376,Kisii University Institutional Repository,institutional,http://repository.kisiiuniversity.ac.ke:8080/xmlui/,Kisii University,ke,171,0
3377,Institutional repository of Russian State Vocational Pedagogical University,institutional,http://elar.rsvpu.ru/,Russian State Vocational Pedagogical University,ru,24957,0
3378,DigitalCommons @ Kennesaw State University,institutional,https://digitalcommons.kennesaw.edu,Kennesaw State University,us,13955,4116
3379,HAL Descartes,institutional,https://hal-descartes.archives-ouvertes.fr/,Université Paris Cité,fr,2652184,4149
3380,Universitas Islam Negeri Sultan Syarif Kasim Riau Repository,institutional,http://repository.uin-suska.ac.id/,State Islamic University Syarif Kasim Sultan,id,11624,0
3381,Tokyo Ariake University of Medical and Health Sciences Academic Repository,institutional,https://tau.repo.nii.ac.jp/,Tokyo Ariake University of Medical and Health Sciences,jp,118,85
3382,Seisen University Academic Repository,institutional,https://seisen-u.repo.nii.ac.jp/,Seisen University,jp,970,776
3383,E Knowledge Center,institutional,http://ekcenter.fdrindia.org/,Foundation for Democratic Reforms,in,0,0
3384,Biblioteca Digital de Artesanías de Colombia,institutional,http://repositorio.artesaniasdecolombia.com.co/,Artesanías de Colombia,co,3275,0
3385,Biblioteca Digital Cámara de Comercio de Bogotá,institutional,http://bibliotecadigital.ccb.org.co/,Cámara de Comercio de Bogotá,co,6021,0
3386,USU Archives,institutional,https://cdm16005.contentdm.oclc.org/digital/,Uniformed Services University,us,3777,0
